epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,7595.56,0.12498,0.48163,0.92825,0.929,0.95349,0.97558,0.974,0.19773,0.34102,0.35549,0.000607916,0.000607916,0.000607916
67,7710.5,0.12774,0.47706,0.93031,0.93363,0.93078,0.96839,0.95918,0.2167,0.35261,0.35489,0.000597754,0.000597754,0.000597754
68,7824.44,0.1275,0.48958,0.92757,0.90891,0.96257,0.97261,0.97219,0.1625,0.32057,0.29993,0.000587551,0.000587551,0.000587551
69,7939.13,0.12829,0.48799,0.93076,0.92298,0.95109,0.97043,0.97038,0.17216,0.31492,0.31643,0.000577311,0.000577311,0.000577311
70,8053.53,0.12458,0.47962,0.92822,0.9592,0.91722,0.97002,0.96912,0.17083,0.31996,0.31746,0.00056704,0.00056704,0.00056704
71,8167.46,0.12286,0.47655,0.92601,0.94171,0.93404,0.9714,0.96748,0.18425,0.3392,0.33846,0.000556742,0.000556742,0.000556742
72,8281.64,0.12643,0.46425,0.93136,0.93486,0.95942,0.97087,0.96792,0.18474,0.31256,0.33814,0.000546421,0.000546421,0.000546421
73,8395.55,0.1255,0.48021,0.92583,0.91029,0.9587,0.9656,0.96113,0.17765,0.32132,0.30333,0.000536081,0.000536081,0.000536081
74,8509.47,0.12508,0.47206,0.92833,0.95804,0.94515,0.97244,0.96905,0.17271,0.31692,0.3149,0.000525728,0.000525728,0.000525728
75,8623.32,0.12143,0.45561,0.92312,0.9531,0.95417,0.97284,0.97284,0.16376,0.31394,0.30552,0.000515366,0.000515366,0.000515366
76,8737.15,0.12046,0.46917,0.92704,0.92723,0.95899,0.97011,0.96976,0.16773,0.30546,0.33018,0.000505,0.000505,0.000505
77,8850.65,0.11742,0.44617,0.92363,0.93181,0.94772,0.9665,0.96634,0.15104,0.32103,0.29655,0.000494634,0.000494634,0.000494634
78,8964.67,0.12256,0.45458,0.92789,0.93376,0.93028,0.96232,0.96232,0.15004,0.30583,0.2767,0.000484272,0.000484272,0.000484272
79,9078.61,0.11731,0.44295,0.92281,0.932,0.93776,0.96721,0.96721,0.16438,0.31675,0.28959,0.000473919,0.000473919,0.000473919
80,9192.79,0.11901,0.45288,0.92494,0.94578,0.94239,0.97122,0.97068,0.1659,0.27733,0.29179,0.000463579,0.000463579,0.000463579
81,9307.13,0.11997,0.45451,0.92701,0.94089,0.92793,0.96665,0.96602,0.1622,0.28907,0.29264,0.000453258,0.000453258,0.000453258
